wavelength,n,k
5.02E+002,2.32E+000,3.99E-001
5.04E+002,2.32E+000,3.99E-001
5.06E+002,2.32E+000,3.99E-001
5.08E+002,2.32E+000,3.99E-001
5.10E+002,2.32E+000,3.99E-001
5.12E+002,2.32E+000,3.99E-001
5.14E+002,2.32E+000,3.99E-001
5.16E+002,2.32E+000,3.99E-001
5.18E+002,2.32E+000,3.99E-001
5.20E+002,2.32E+000,4.00E-001
5.22E+002,2.32E+000,4.00E-001
5.24E+002,2.32E+000,4.00E-001
5.26E+002,2.32E+000,4.00E-001
5.28E+002,2.32E+000,4.01E-001
5.30E+002,2.32E+000,4.01E-001
5.32E+002,2.32E+000,4.01E-001
5.34E+002,2.32E+000,4.01E-001
5.36E+002,2.32E+000,4.02E-001
5.38E+002,2.33E+000,4.02E-001
5.40E+002,2.33E+000,4.02E-001
5.42E+002,2.33E+000,4.02E-001
5.44E+002,2.33E+000,4.02E-001
5.46E+002,2.33E+000,4.02E-001
5.48E+002,2.33E+000,4.02E-001
5.50E+002,2.34E+000,4.01E-001
5.52E+002,2.34E+000,4.01E-001
5.54E+002,2.34E+000,4.01E-001
5.56E+002,2.34E+000,4.00E-001
5.58E+002,2.35E+000,4.00E-001
5.60E+002,2.35E+000,3.99E-001
5.62E+002,2.35E+000,3.99E-001
5.64E+002,2.35E+000,3.98E-001
5.66E+002,2.36E+000,3.97E-001
5.68E+002,2.36E+000,3.96E-001
5.70E+002,2.36E+000,3.95E-001
5.72E+002,2.36E+000,3.94E-001
5.74E+002,2.37E+000,3.93E-001
5.76E+002,2.37E+000,3.91E-001
5.78E+002,2.37E+000,3.90E-001
5.80E+002,2.37E+000,3.88E-001
5.82E+002,2.38E+000,3.87E-001
5.84E+002,2.38E+000,3.85E-001
5.86E+002,2.38E+000,3.83E-001
5.88E+002,2.38E+000,3.81E-001
5.90E+002,2.39E+000,3.79E-001
5.92E+002,2.39E+000,3.77E-001
5.94E+002,2.39E+000,3.75E-001
5.96E+002,2.39E+000,3.72E-001
5.98E+002,2.40E+000,3.70E-001
6.00E+002,2.40E+000,3.67E-001
6.02E+002,2.40E+000,3.65E-001
6.04E+002,2.40E+000,3.62E-001
6.06E+002,2.41E+000,3.59E-001
6.08E+002,2.41E+000,3.56E-001
6.10E+002,2.41E+000,3.53E-001
6.12E+002,2.41E+000,3.50E-001
6.14E+002,2.41E+000,3.47E-001
6.16E+002,2.42E+000,3.44E-001
6.18E+002,2.42E+000,3.41E-001
6.20E+002,2.42E+000,3.38E-001
6.22E+002,2.42E+000,3.35E-001
6.24E+002,2.42E+000,3.32E-001
6.26E+002,2.43E+000,3.28E-001
6.28E+002,2.43E+000,3.25E-001
6.30E+002,2.43E+000,3.22E-001
6.32E+002,2.43E+000,3.18E-001
6.34E+002,2.43E+000,3.15E-001
6.36E+002,2.43E+000,3.12E-001
6.38E+002,2.43E+000,3.08E-001
6.40E+002,2.43E+000,3.05E-001
6.42E+002,2.43E+000,3.01E-001
6.44E+002,2.43E+000,2.98E-001
6.46E+002,2.44E+000,2.95E-001
6.48E+002,2.44E+000,2.91E-001
6.50E+002,2.44E+000,2.88E-001
6.52E+002,2.44E+000,2.85E-001
6.54E+002,2.44E+000,2.81E-001
6.56E+002,2.44E+000,2.78E-001
6.58E+002,2.44E+000,2.75E-001
6.60E+002,2.44E+000,2.72E-001
6.62E+002,2.44E+000,2.69E-001
6.64E+002,2.44E+000,2.65E-001
6.66E+002,2.44E+000,2.62E-001
6.68E+002,2.44E+000,2.59E-001
6.70E+002,2.44E+000,2.57E-001
6.72E+002,2.44E+000,2.54E-001
6.74E+002,2.44E+000,2.51E-001
6.76E+002,2.44E+000,2.48E-001
6.78E+002,2.43E+000,2.46E-001
6.80E+002,2.43E+000,2.43E-001
6.82E+002,2.43E+000,2.41E-001
6.84E+002,2.43E+000,2.38E-001
6.86E+002,2.43E+000,2.36E-001
6.88E+002,2.43E+000,2.34E-001
6.90E+002,2.43E+000,2.32E-001
6.92E+002,2.43E+000,2.30E-001
6.94E+002,2.43E+000,2.28E-001
6.96E+002,2.43E+000,2.26E-001
6.98E+002,2.43E+000,2.25E-001
7.00E+002,2.43E+000,2.23E-001
7.02E+002,2.43E+000,2.22E-001
7.04E+002,2.43E+000,2.21E-001
7.06E+002,2.43E+000,2.19E-001
7.08E+002,2.43E+000,2.19E-001
7.10E+002,2.42E+000,2.18E-001
7.12E+002,2.42E+000,2.17E-001
7.14E+002,2.42E+000,2.16E-001
7.16E+002,2.42E+000,2.16E-001
7.18E+002,2.42E+000,2.16E-001
7.20E+002,2.42E+000,2.16E-001
7.22E+002,2.43E+000,2.16E-001
7.24E+002,2.43E+000,2.16E-001
7.26E+002,2.43E+000,2.16E-001
7.28E+002,2.43E+000,2.16E-001
7.30E+002,2.43E+000,2.17E-001
7.32E+002,2.43E+000,2.17E-001
7.34E+002,2.44E+000,2.17E-001
7.36E+002,2.44E+000,2.17E-001
7.38E+002,2.44E+000,2.17E-001
7.40E+002,2.45E+000,2.17E-001
7.42E+002,2.45E+000,2.16E-001
7.44E+002,2.46E+000,2.15E-001
7.46E+002,2.46E+000,2.13E-001
7.48E+002,2.47E+000,2.10E-001
7.50E+002,2.48E+000,2.06E-001
7.52E+002,2.48E+000,2.01E-001
7.54E+002,2.49E+000,1.94E-001
7.56E+002,2.49E+000,1.87E-001
7.58E+002,2.50E+000,1.78E-001
7.60E+002,2.50E+000,1.68E-001
7.62E+002,2.51E+000,1.57E-001
7.64E+002,2.51E+000,1.46E-001
7.66E+002,2.51E+000,1.34E-001
7.68E+002,2.51E+000,1.23E-001
7.70E+002,2.50E+000,1.12E-001
7.72E+002,2.50E+000,1.03E-001
7.74E+002,2.49E+000,9.35E-002
7.76E+002,2.49E+000,8.54E-002
7.78E+002,2.48E+000,7.83E-002
7.80E+002,2.48E+000,7.21E-002
7.82E+002,2.47E+000,6.68E-002
7.84E+002,2.46E+000,6.22E-002
7.86E+002,2.46E+000,5.84E-002
7.88E+002,2.45E+000,5.52E-002
7.90E+002,2.45E+000,5.26E-002
7.92E+002,2.44E+000,5.04E-002
7.94E+002,2.43E+000,4.86E-002
7.96E+002,2.43E+000,4.71E-002
7.98E+002,2.42E+000,4.60E-002
8.00E+002,2.42E+000,4.50E-002
8.02E+002,2.42E+000,4.42E-002
8.04E+002,2.41E+000,4.35E-002
8.06E+002,2.41E+000,4.27E-002
8.08E+002,2.41E+000,4.20E-002
8.10E+002,2.40E+000,4.13E-002
8.12E+002,2.40E+000,4.06E-002
8.14E+002,2.40E+000,3.99E-002
8.16E+002,2.39E+000,3.93E-002
8.18E+002,2.39E+000,3.87E-002
8.20E+002,2.39E+000,3.81E-002
8.22E+002,2.39E+000,3.75E-002
8.24E+002,2.38E+000,3.70E-002
8.26E+002,2.38E+000,3.64E-002
8.28E+002,2.38E+000,3.59E-002
8.30E+002,2.38E+000,3.54E-002
8.32E+002,2.37E+000,3.49E-002
8.34E+002,2.37E+000,3.45E-002
8.36E+002,2.37E+000,3.40E-002
8.38E+002,2.37E+000,3.36E-002
8.40E+002,2.36E+000,3.32E-002
8.42E+002,2.36E+000,3.28E-002
8.44E+002,2.36E+000,3.24E-002
8.46E+002,2.36E+000,3.20E-002
8.48E+002,2.36E+000,3.17E-002
8.50E+002,2.35E+000,3.13E-002
8.52E+002,2.35E+000,3.10E-002
8.54E+002,2.35E+000,3.07E-002
8.56E+002,2.35E+000,3.04E-002
8.58E+002,2.35E+000,3.01E-002
8.60E+002,2.34E+000,2.99E-002
8.62E+002,2.34E+000,2.96E-002
8.64E+002,2.34E+000,2.93E-002
8.66E+002,2.34E+000,2.91E-002
8.68E+002,2.34E+000,2.89E-002
8.70E+002,2.34E+000,2.87E-002
8.72E+002,2.33E+000,2.85E-002
8.74E+002,2.33E+000,2.83E-002
8.76E+002,2.33E+000,2.81E-002
8.78E+002,2.33E+000,2.79E-002
8.80E+002,2.33E+000,2.77E-002
8.82E+002,2.33E+000,2.76E-002
8.84E+002,2.33E+000,2.74E-002
8.86E+002,2.32E+000,2.73E-002
8.88E+002,2.32E+000,2.72E-002
8.90E+002,2.32E+000,2.70E-002
8.92E+002,2.32E+000,2.69E-002
8.94E+002,2.32E+000,2.68E-002
8.96E+002,2.32E+000,2.67E-002
8.98E+002,2.32E+000,2.66E-002
9.00E+002,2.31E+000,2.65E-002
9.02E+002,2.31E+000,2.64E-002
9.04E+002,2.31E+000,2.64E-002
9.06E+002,2.31E+000,2.63E-002
9.08E+002,2.31E+000,2.62E-002
9.10E+002,2.31E+000,2.62E-002
9.12E+002,2.31E+000,2.61E-002
9.14E+002,2.31E+000,2.61E-002
9.16E+002,2.30E+000,2.60E-002
9.18E+002,2.30E+000,2.60E-002
9.20E+002,2.30E+000,2.60E-002
9.22E+002,2.30E+000,2.59E-002
9.24E+002,2.30E+000,2.59E-002
9.26E+002,2.30E+000,2.59E-002
9.28E+002,2.30E+000,2.59E-002
9.30E+002,2.30E+000,2.58E-002
9.32E+002,2.30E+000,2.58E-002
9.34E+002,2.29E+000,2.58E-002
9.36E+002,2.29E+000,2.58E-002
9.38E+002,2.29E+000,2.58E-002
9.40E+002,2.29E+000,2.58E-002
9.42E+002,2.29E+000,2.58E-002
9.44E+002,2.29E+000,2.58E-002
9.46E+002,2.29E+000,2.59E-002
9.48E+002,2.29E+000,2.59E-002
9.50E+002,2.29E+000,2.59E-002
9.52E+002,2.29E+000,2.59E-002
9.54E+002,2.29E+000,2.59E-002
9.56E+002,2.28E+000,2.60E-002
9.58E+002,2.28E+000,2.60E-002
9.60E+002,2.28E+000,2.60E-002
9.62E+002,2.28E+000,2.60E-002
9.64E+002,2.28E+000,2.61E-002
9.66E+002,2.28E+000,2.61E-002
9.68E+002,2.28E+000,2.62E-002
9.70E+002,2.28E+000,2.62E-002
9.72E+002,2.28E+000,2.62E-002
9.74E+002,2.28E+000,2.63E-002
9.76E+002,2.28E+000,2.63E-002
9.78E+002,2.28E+000,2.64E-002
