wavelength,n,k
241.143356,2.542703,1.097507
242.734009,2.548961,1.080347
244.324661,2.554832,1.063421
245.915359,2.56033,1.046727
247.506058,2.565468,1.030267
249.096802,2.570257,1.014041
250.687546,2.574711,0.998048
252.27832,2.578841,0.982288
253.86911,2.582659,0.966761
255.45993,2.586176,0.951467
257.050751,2.589402,0.936404
258.641602,2.592348,0.921572
260.232483,2.595024,0.906971
261.823364,2.597439,0.892599
263.414276,2.599603,0.878456
265.005188,2.601525,0.86454
266.59613,2.603213,0.85085
268.187103,2.604676,0.837386
269.778076,2.605923,0.824146
271.36908,2.606961,0.811128
272.960083,2.607798,0.798331
274.551117,2.608441,0.785755
276.142151,2.608899,0.773397
277.733215,2.609177,0.761256
279.32431,2.609283,0.749331
280.915405,2.609224,0.73762
282.5065,2.609006,0.726122
284.097626,2.608636,0.714835
285.688782,2.608119,0.703757
287.279907,2.607461,0.692888
288.871063,2.606669,0.682224
290.46225,2.605748,0.671766
292.053436,2.604704,0.661511
293.644653,2.603542,0.651457
295.23587,2.602266,0.641603
296.827087,2.600883,0.631948
298.418335,2.599398,0.622489
300.009583,2.597814,0.613225
301.600861,2.596138,0.604155
303.192139,2.594373,0.595276
304.783417,2.592524,0.586587
306.374725,2.590596,0.578087
307.966034,2.588593,0.569773
309.557373,2.586519,0.561644
311.148682,2.584379,0.553699
312.740051,2.582176,0.545936
314.33136,2.579915,0.538353
315.92276,2.577599,0.530948
317.514099,2.575233,0.52372
319.105499,2.572819,0.516667
320.696869,2.570362,0.509787
322.288269,2.567866,0.50308
323.879669,2.565334,0.496543
325.471069,2.562769,0.490175
327.0625,2.560176,0.483973
328.6539,2.557557,0.477937
330.245331,2.554915,0.472065
331.836792,2.552255,0.466355
333.428223,2.54958,0.460806
335.019684,2.546892,0.455416
336.611145,2.544195,0.450183
338.202576,2.541492,0.445106
339.794037,2.538787,0.440184
341.385529,2.536082,0.435413
342.97699,2.53338,0.430794
344.568481,2.530685,0.426325
346.159973,2.528,0.422003
347.751434,2.525327,0.417828
349.342957,2.522669,0.413797
350.934418,2.520031,0.409909
352.52594,2.517414,0.406163
354.117401,2.514821,0.402557
355.708923,2.512256,0.399089
357.300415,2.509722,0.395758
358.891907,2.507221,0.392562
360.483429,2.504757,0.389499
362.074921,2.502333,0.386569
363.666443,2.499951,0.383768
365.257965,2.497615,0.381097
366.849457,2.495327,0.378552
368.440979,2.493092,0.376133
370.032471,2.490911,0.373837
371.623962,2.488789,0.371663
373.215485,2.486728,0.36961
374.806976,2.484732,0.367676
376.398499,2.482804,0.365858
377.98999,2.480948,0.364155
379.581482,2.479168,0.362566
381.173004,2.477466,0.361088
382.764465,2.475848,0.359719
384.355988,2.474316,0.358458
385.947449,2.472875,0.357303
387.538971,2.47153,0.356251
389.130432,2.470284,0.3553
390.721924,2.469142,0.354448
392.313416,2.468111,0.353692
393.904846,2.467193,0.353029
395.496338,2.466395,0.352456
397.087799,2.465723,0.35197
398.67926,2.465183,0.351566
400.270691,2.46478,0.351242
401.862122,2.464521,0.350992
403.453583,2.464413,0.35081
405.045013,2.464463,0.350691
406.636414,2.464677,0.350629
408.227844,2.465063,0.350615
409.819275,2.465628,0.350642
411.410706,2.466378,0.350699
413.002045,2.467321,0.350778
414.593445,2.468463,0.350866
416.184814,2.469809,0.350952
417.776215,2.471366,0.351021
419.367584,2.473137,0.351058
420.958923,2.475127,0.351049
422.550232,2.477337,0.350976
424.141602,2.479769,0.350822
425.73291,2.482423,0.350568
427.324219,2.485296,0.350195
428.915527,2.488384,0.349683
430.506836,2.491683,0.349012
432.098083,2.495183,0.348161
433.689362,2.498875,0.347112
435.280609,2.502747,0.345845
436.871887,2.506784,0.34434
438.463135,2.510971,0.342579
440.054352,2.515288,0.340547
441.645569,2.519716,0.338227
443.236725,2.524232,0.335606
444.827942,2.528813,0.332673
446.419098,2.533433,0.329419
448.010254,2.538067,0.325835
449.601379,2.542686,0.321919
451.192535,2.547265,0.317667
452.7836,2.551774,0.313081
454.374695,2.556186,0.308164
455.965759,2.560472,0.302921
457.556824,2.564608,0.297362
459.147888,2.568565,0.291498
460.738922,2.572319,0.285342
462.329987,2.575847,0.27891
463.920959,2.579126,0.272219
465.511963,2.582137,0.26529
467.102875,2.584861,0.258144
468.693848,2.587282,0.250804
470.28476,2.589388,0.243293
471.875671,2.591166,0.235636
473.466614,2.592607,0.22786
475.057465,2.593704,0.219989
476.648346,2.594454,0.212051
478.239166,2.594855,0.20407
479.829987,2.594906,0.196073
481.420746,2.594611,0.188085
483.011566,2.593974,0.18013
484.602295,2.593002,0.172232
486.193054,2.591702,0.164413
487.783752,2.590086,0.156695
489.374451,2.588164,0.149098
490.965149,2.58595,0.14164
492.555756,2.583458,0.134338
494.146393,2.580703,0.127208
495.737,2.577701,0.120263
497.327576,2.574469,0.113517
498.918152,2.571023,0.106978
500.508698,2.567381,0.100658
502.099213,2.563561,0.094561
503.689697,2.55958,0.088696
505.280182,2.555457,0.083065
506.870605,2.551207,0.077671
508.461029,2.546849,0.072517
510.051422,2.542398,0.067602
511.641785,2.537872,0.062926
513.232117,2.533284,0.058485
514.822449,2.52865,0.054278
516.41272,2.523983,0.050299
518.003052,2.519297,0.046545
519.593262,2.514605,0.043009
521.183472,2.509916,0.039686
522.773682,2.505243,0.036568
524.363831,2.500595,0.033648
525.953979,2.495981,0.030919
527.544067,2.491408,0.028373
529.134155,2.486884,0.026002
530.724182,2.482416,0.023798
532.314209,2.478009,0.021752
533.904175,2.473668,0.019857
535.494141,2.469397,0.018104
537.084106,2.4652,0.016486
538.67395,2.46108,0.014993
540.263855,2.457039,0.01362
541.853699,2.453078,0.012358
543.443481,2.4492,0.011199
545.033325,2.445404,0.010138
546.623047,2.441692,0.009167
548.212769,2.438063,0.00828
549.802429,2.434517,0.00747
551.39209,2.431054,0.006733
552.981689,2.427673,0.006061
554.571289,2.424371,0.005452
556.160828,2.42115,0.004898
557.750366,2.418006,0.004397
559.339844,2.414938,0.003943
560.929321,2.411945,0.003532
562.518677,2.409025,0.003162
564.108093,2.406176,0.002827
565.697449,2.403396,0.002526
567.286743,2.400683,0.002255
568.876099,2.398035,0.002011
570.465271,2.39545,0.001792
572.054565,2.392927,0.001596
573.643677,2.390463,0.00142
575.232788,2.388056,0.001262
576.821899,2.385704,0.001121
578.411011,2.383406,0.000995
580.000061,2.38116,0.000882
581.588989,2.378964,0.000782
583.177979,2.376817,0.000693
584.766907,2.374716,0.000613
586.355774,2.372659,0.000542
587.94458,2.370647,0.000479
589.533386,2.368676,0.000423
591.122192,2.366746,0.000374
592.710876,2.364855,0.00033
594.299561,2.363001,0.000291
595.888245,2.361184,0.000256
597.476807,2.359402,0.000226
599.065369,2.357655,0.000199
600.653931,2.35594,0.000175
602.242371,2.354257,0.000154
603.830811,2.352604,0.000135
605.419189,2.350982,0.000119
607.007568,2.349388,0.000104
608.595886,2.347822,0.000091
610.184143,2.346283,0.00008
611.772339,2.344771,0.00007
613.360535,2.343283,0.000061
614.94873,2.341821,0.000054
616.536804,2.340382,0.000047
618.124878,2.338966,0.000041
619.712891,2.337574,0.000036
621.300842,2.336202,0.000032
622.888794,2.334852,0.000028
624.476685,2.333523,0.000024
626.064453,2.332214,0.000021
627.652222,2.330925,0.000018
629.23999,2.329655,0.000016
630.827698,2.328403,0.000014
632.415344,2.327169,0.000012
634.00293,2.325953,0.000011
635.590515,2.324754,0.000009
637.17804,2.323572,0.000008
638.765503,2.322407,0.000007
640.352905,2.321257,0.000006
641.940247,2.320123,0.000005
643.527588,2.319004,0.000005
645.114868,2.3179,0.000004
646.702026,2.316811,0.000004
648.289246,2.315736,0.000003
649.876343,2.314675,0.000003
651.46344,2.313627,0.000002
653.050415,2.312593,0.000002
654.63739,2.311572,0.000002
656.224365,2.310564,0.000002
657.811218,2.309568,0.000001
659.398071,2.308584,0.000001
660.984802,2.307612,0.000001
662.571533,2.306653,0.000001
664.158203,2.305704,0.000001
665.744812,2.304767,0.000001
667.33136,2.303841,0.000001
668.917847,2.302926,0
670.504333,2.302022,0
672.090698,2.301128,0
673.677124,2.300244,0
675.263367,2.29937,0
676.849609,2.298507,0
678.435791,2.297653,0
680.021912,2.296808,0
681.608032,2.295973,0
683.194031,2.295147,0
684.779968,2.29433,0
686.365906,2.293522,0
687.951782,2.292723,0
689.537537,2.291933,0
691.123291,2.29115,0
692.708984,2.290377,0
694.294617,2.289611,0
695.880188,2.288853,0
697.465698,2.288103,0
699.051147,2.287361,0
700.636597,2.286627,0
702.221863,2.2859,0
703.80719,2.285181,0
705.392395,2.284469,0
706.977539,2.283764,0
708.562622,2.283066,0
710.147705,2.282375,0
711.732666,2.281691,0
713.317627,2.281013,0
714.902466,2.280343,0
716.487244,2.279679,0
718.072021,2.279021,0
719.656677,2.27837,0
721.241333,2.277725,0
722.825806,2.277086,0
724.410339,2.276453,0
725.994751,2.275827,0
727.579163,2.275206,0
729.163452,2.274591,0
730.747681,2.273982,0
732.331848,2.273378,0
733.915955,2.27278,0
735.5,2.272188,0
737.083984,2.2716,0
738.667847,2.271019,0
740.25177,2.270442,0
741.835571,2.269871,0
743.41925,2.269305,0
745.002869,2.268744,0
746.586487,2.268188,0
748.170044,2.267637,0
749.753479,2.267091,0
751.336853,2.266549,0
752.920166,2.266012,0
754.503418,2.26548,0
756.086609,2.264953,0
757.669739,2.26443,0
759.252808,2.263911,0
760.835754,2.263398,0
762.41864,2.262888,0
764.001465,2.262383,0
765.58429,2.261882,0
767.166931,2.261385,0
768.749573,2.260893,0
770.332153,2.260404,0
771.914673,2.25992,0
773.497009,2.25944,0
775.079407,2.258963,0
776.661682,2.258491,0
778.243835,2.258022,0
779.825989,2.257558,0
781.408081,2.257097,0
782.990051,2.256639,0
784.57196,2.256186,0
786.153809,2.255736,0
787.735535,2.25529,0
789.317261,2.254847,0
790.898865,2.254408,0
792.480408,2.253972,0
794.06189,2.25354,0
795.64325,2.253111,0
797.224548,2.252686,0
798.805786,2.252264,0
800.387024,2.251845,0
801.968079,2.251429,0
803.549072,2.251017,0
805.130005,2.250607,0
806.710876,2.250201,0
808.291626,2.249798,0
809.872375,2.249398,0
811.453003,2.249002,0
813.033569,2.248608,0
814.614014,2.248217,0
816.194458,2.247829,0
817.77478,2.247444,0
819.35498,2.247062,0
820.935181,2.246682,0
822.515259,2.246306,0
824.095215,2.245932,0
825.67511,2.245561,0
827.255005,2.245193,0
828.834656,2.244827,0
830.414368,2.244464,0
831.993958,2.244104,0
833.573425,2.243747,0
835.152954,2.243392,0
836.732239,2.243039,0
838.311523,2.242689,0
839.890747,2.242342,0
841.469849,2.241997,0
843.048828,2.241654,0
844.627747,2.241314,0
846.206543,2.240977,0
847.785339,2.240641,0
849.364075,2.240309,0
850.942566,2.239978,0
852.521118,2.23965,0
854.099487,2.239324,0
855.677856,2.239,0
857.256165,2.238679,0
858.83429,2.238359,0
860.412415,2.238042,0
861.990356,2.237727,0
863.568237,2.237415,0
865.146118,2.237104,0
866.723816,2.236796,0
868.301453,2.236489,0
869.879028,2.236185,0
871.456421,2.235883,0
873.033875,2.235583,0
874.611145,2.235285,0
876.188354,2.234988,0
877.765442,2.234694,0
879.342468,2.234402,0
880.919434,2.234112,0
882.496277,2.233823,0
884.073059,2.233537,0
885.649719,2.233252,0
887.226257,2.232969,0
888.802734,2.232688,0
890.379089,2.232409,0
891.955383,2.232132,0
893.531555,2.231857,0
895.107727,2.231583,0
896.683716,2.231311,0
898.259644,2.231041,0
899.835449,2.230773,0
901.411255,2.230506,0
902.986816,2.230241,0
904.562378,2.229978,0
906.137817,2.229716,0
907.713196,2.229456,0
909.288452,2.229198,0
910.863647,2.228941,0
912.43866,2.228686,0
914.013672,2.228433,0
915.588562,2.228181,0
917.163391,2.227931,0
918.737976,2.227682,0
920.312622,2.227435,0
921.887085,2.227189,0
923.461548,2.226945,0
925.035828,2.226702,0
926.609985,2.226461,0
928.184082,2.226221,0
929.758118,2.225983,0
931.332031,2.225746,0
932.905762,2.225511,0
934.479492,2.225277,0
936.053101,2.225045,0
937.626648,2.224814,0
939.200012,2.224584,0
940.773315,2.224356,0
942.346497,2.224129,0
943.919617,2.223903,0
945.492554,2.223679,0
947.065552,2.223456,0
948.638306,2.223235,0
950.21106,2.223014,0
951.783569,2.222795,0
953.356079,2.222578,0
954.928528,2.222362,0
956.500793,2.222147,0
958.072937,2.221933,0
959.64502,2.22172,0
961.21698,2.221509,0
962.788879,2.221299,0
964.360657,2.22109,0
965.932251,2.220882,0
967.503784,2.220676,0
969.075317,2.22047,0
970.646606,2.220266,0
972.217896,2.220063,0
973.78894,2.219862,0
975.359985,2.219661,0
976.930847,2.219461,0
978.501648,2.219263,0
980.072388,2.219066,0
981.642944,2.21887,0
983.213501,2.218675,0
984.783813,2.218481,0
986.354126,2.218288,0
987.924194,2.218096,0
989.494324,2.217906,0
991.06427,2.217716,0
992.634094,2.217528,0
994.203796,2.21734,0
995.773315,2.217154,0
997.342896,2.216968,0
998.912292,2.216784,0
1012.27179,2.215255,0
1015.750671,2.214868,0
1019.227905,2.214485,0
1022.703796,2.214108,0
1026.178101,2.213735,0
1029.650879,2.213366,0
1033.122314,2.213002,0
1036.592285,2.212642,0
1040.060791,2.212287,0
1043.527832,2.211935,0
1046.99353,2.211588,0
1050.457886,2.211245,0
1053.920776,2.210906,0
1057.382446,2.21057,0
1060.842651,2.210239,0
1064.301514,2.209911,0
1067.759155,2.209587,0
1071.215576,2.209267,0
1074.670532,2.20895,0
1078.124268,2.208637,0
1081.576904,2.208328,0
1085.028076,2.208021,0
1088.478149,2.207719,0
1091.927002,2.207419,0
1095.374634,2.207123,0
1098.821045,2.20683,0
1102.266357,2.20654,0
1105.710571,2.206254,0
1109.153564,2.20597,0
1112.595459,2.205689,0
1116.036133,2.205412,0
1119.47583,2.205137,0
1122.914429,2.204866,0
1126.352051,2.204597,0
1129.788452,2.204331,0
1133.223877,2.204067,0
1136.658447,2.203807,0
1140.091919,2.203549,0
1143.524292,2.203294,0
1146.955811,2.203042,0
1150.38623,2.202791,0
1153.815796,2.202544,0
1157.244385,2.202299,0
1160.672119,2.202057,0
1164.098999,2.201817,0
1167.524902,2.201579,0
1170.949951,2.201344,0
1174.374146,2.201111,0
1177.797485,2.20088,0
1181.219971,2.200652,0
1184.641724,2.200426,0
1188.062622,2.200202,0
1191.482666,2.19998,0
1194.9021,2.19976,0
1198.320557,2.199543,0
1201.738525,2.199327,0
1205.155518,2.199114,0
1208.572021,2.198903,0
1211.987671,2.198693,0
1215.40271,2.198486,0
1218.817139,2.19828,0
1222.230713,2.198077,0
1225.643799,2.197875,0
1229.056396,2.197675,0
1232.46814,2.197478,0
1235.879395,2.197282,0
1239.290039,2.197087,0
1242.700073,2.196895,0
1246.109619,2.196704,0
1249.518677,2.196515,0
1252.927002,2.196328,0
1256.335083,2.196142,0
1259.742432,2.195958,0
1263.149536,2.195776,0
1266.55603,2.195595,0
1269.962158,2.195416,0
1273.367798,2.195239,0
1276.772949,2.195063,0
1280.177856,2.194888,0
1283.582275,2.194715,0
1286.986206,2.194544,0
1290.389893,2.194374,0
1293.793213,2.194206,0
1297.196289,2.194039,0
1300.598999,2.193873,0
1304.001343,2.193709,0
1307.403564,2.193547,0
1310.805298,2.193385,0
1314.206787,2.193225,0
1317.608154,2.193067,0
1321.009277,2.192909,0
1324.410156,2.192753,0
1327.810791,2.192599,0
1331.211304,2.192445,0
1334.611572,2.192293,0
1338.011719,2.192142,0
1341.411865,2.191993,0
1344.811646,2.191844,0
1348.211426,2.191697,0
1351.611084,2.191551,0
1355.010742,2.191406,0
1358.410278,2.191263,0
1361.809692,2.19112,0
1365.209106,2.190979,0
1368.608521,2.190839,0
1372.007935,2.1907,0
1375.407349,2.190562,0
1378.806763,2.190425,0
1382.206177,2.190289,0
1385.605713,2.190154,0
1389.005127,2.190021,0
1392.404785,2.189888,0
1395.804443,2.189756,0
1399.204346,2.189626,0
1402.604248,2.189496,0
1406.004395,2.189368,0
1409.404541,2.18924,0
1412.804932,2.189113,0
1416.205566,2.188988,0
1419.606323,2.188863,0
1423.007324,2.188739,0
1426.408447,2.188617,0
1429.809937,2.188495,0
1433.21167,2.188374,0
1436.613525,2.188254,0
1440.015869,2.188134,0
1443.418335,2.188016,0
1446.821167,2.187899,0
1450.224365,2.187782,0
1453.62793,2.187666,0
1457.031738,2.187552,0
1460.436035,2.187438,0
1463.840576,2.187325,0
1467.245605,2.187212,0
1470.651123,2.187101,0
1474.056885,2.18699,0
1477.463135,2.18688,0
1480.869873,2.186771,0
1484.2771,2.186662,0
1487.684814,2.186555,0
1491.093018,2.186448,0
1494.501831,2.186342,0
1497.911133,2.186237,0
1501.320923,2.186132,0
1504.731201,2.186028,0
1508.142212,2.185925,0
1511.553711,2.185823,0
1514.96582,2.185721,0
1518.378662,2.18562,0
1521.791992,2.18552,0
1525.205933,2.185421,0
1528.620605,2.185322,0
1532.036011,2.185223,0
1535.452026,2.185126,0
1538.868896,2.185029,0
1542.286377,2.184933,0
1545.704468,2.184837,0
1549.123413,2.184742,0
1552.543213,2.184648,0
1555.963623,2.184554,0
1559.38501,2.184461,0
1562.807007,2.184369,0
1566.22998,2.184277,0
1569.653687,2.184186,0
1573.078369,2.184096,0
1576.503784,2.184005,0
1579.930176,2.183916,0
1583.357422,2.183827,0
1586.785645,2.183739,0
1590.2146,2.183652,0
1593.644775,2.183565,0
1597.075684,2.183478,0
1600.507568,2.183392,0
1603.940674,2.183307,0
1607.374512,2.183222,0
1610.809448,2.183138,0
1614.245361,2.183054,0
1617.682373,2.182971,0
1621.120483,2.182888,0
1624.559692,2.182806,0
1627.999756,2.182724,0
1631.441162,2.182643,0
1634.883545,2.182563,0
1638.327148,2.182482,0
1641.771851,2.182403,0
1645.217773,2.182324,0
1648.664795,2.182245,0
1652.113037,2.182167,0
1655.5625,2.18209,0
1659.013062,2.182012,0
1662.465088,2.181936,0
1665.918213,2.181859,0
1669.372437,2.181784,0
1672.828125,2.181709,0
1676.285156,2.181634,0
1679.743408,2.181559,0
1683.202881,2.181485,0
1686.663818,2.181412,0
