wavelength,n,k
241.143356,2.310024,0.82961
242.734009,2.315053,0.818945
244.324661,2.319877,0.808406
245.915359,2.324502,0.797993
247.506058,2.328935,0.787704
249.096802,2.333183,0.777538
250.687546,2.337252,0.767497
252.27832,2.341148,0.757577
253.86911,2.344876,0.747779
255.45993,2.348443,0.738101
257.050751,2.351853,0.728543
258.641602,2.355112,0.719104
260.232483,2.358225,0.709783
261.823364,2.361197,0.700578
263.414276,2.364033,0.691489
265.005188,2.366737,0.682515
266.59613,2.369314,0.673655
268.187103,2.371767,0.664907
269.778076,2.374102,0.65627
271.36908,2.376322,0.647744
272.960083,2.378431,0.639327
274.551117,2.380433,0.631018
276.142151,2.382331,0.622816
277.733215,2.38413,0.614721
279.32431,2.385832,0.606729
280.915405,2.387441,0.598842
282.5065,2.38896,0.591057
284.097626,2.390393,0.583374
285.688782,2.391742,0.575791
287.279907,2.39301,0.568307
288.871063,2.394201,0.560921
290.46225,2.395317,0.553632
292.053436,2.396361,0.546439
293.644653,2.397336,0.53934
295.23587,2.398244,0.532336
296.827087,2.399089,0.525423
298.418335,2.399871,0.518602
300.009583,2.400595,0.511872
301.600861,2.401262,0.50523
303.192139,2.401875,0.498677
304.783417,2.402435,0.492211
306.374725,2.402946,0.485831
307.966034,2.40341,0.479536
309.557373,2.403828,0.473325
311.148682,2.404204,0.467197
312.740051,2.404539,0.46115
314.33136,2.404835,0.455185
315.92276,2.405094,0.449299
317.514099,2.405319,0.443492
319.105499,2.405512,0.437762
320.696869,2.405675,0.432109
322.288269,2.405809,0.426532
323.879669,2.405918,0.421029
325.471069,2.406004,0.415599
327.0625,2.406068,0.410241
328.6539,2.406112,0.404954
330.245331,2.40614,0.399737
331.836792,2.406153,0.394589
333.428223,2.406154,0.389507
335.019684,2.406145,0.38449
336.611145,2.406128,0.379538
338.202576,2.406106,0.374647
339.794037,2.406082,0.369817
341.385529,2.406058,0.365045
342.97699,2.406036,0.360328
344.568481,2.406019,0.355666
346.159973,2.406009,0.351053
347.751434,2.406009,0.346489
349.342957,2.406021,0.341969
350.934418,2.406047,0.337491
352.52594,2.406089,0.33305
354.117401,2.406149,0.328643
355.708923,2.406229,0.324265
357.300415,2.406329,0.319911
358.891907,2.406451,0.315578
360.483429,2.406596,0.311261
362.074921,2.406763,0.306953
363.666443,2.406953,0.30265
365.257965,2.407164,0.298346
366.849457,2.407395,0.294037
368.440979,2.407646,0.289716
370.032471,2.407912,0.285378
371.623962,2.408192,0.281018
373.215485,2.408482,0.276631
374.806976,2.408777,0.272211
376.398499,2.409075,0.267755
377.98999,2.409368,0.263258
379.581482,2.409653,0.258717
381.173004,2.409922,0.254128
382.764465,2.41017,0.249488
384.355988,2.41039,0.244796
385.947449,2.410575,0.24005
387.538971,2.410718,0.235249
389.130432,2.410811,0.230394
390.721924,2.410847,0.225484
392.313416,2.41082,0.220522
393.904846,2.410721,0.215509
395.496338,2.410543,0.210449
397.087799,2.410281,0.205344
398.67926,2.409927,0.200199
400.270691,2.409475,0.195019
401.862122,2.408919,0.189809
403.453583,2.408256,0.184575
405.045013,2.407479,0.179324
406.636414,2.406585,0.174061
408.227844,2.40557,0.168795
409.819275,2.404433,0.163533
411.410706,2.40317,0.158281
413.002045,2.40178,0.153049
414.593445,2.400264,0.147844
416.184814,2.398619,0.142673
417.776215,2.396848,0.137545
419.367584,2.394952,0.132467
420.958923,2.392932,0.127447
422.550232,2.390792,0.122491
424.141602,2.388533,0.117608
425.73291,2.38616,0.112803
427.324219,2.383677,0.108083
428.915527,2.381088,0.103454
430.506836,2.378399,0.098921
432.098083,2.375614,0.09449
433.689362,2.372739,0.090164
435.280609,2.36978,0.085949
436.871887,2.366743,0.081847
438.463135,2.363635,0.077861
440.054352,2.360461,0.073995
441.645569,2.357227,0.070251
443.236725,2.353941,0.066629
444.827942,2.350609,0.063131
446.419098,2.347237,0.059758
448.010254,2.343831,0.056511
449.601379,2.340398,0.053388
451.192535,2.336942,0.050389
452.7836,2.333472,0.047514
454.374695,2.329991,0.04476
455.965759,2.326505,0.042127
457.556824,2.32302,0.039613
459.147888,2.319541,0.037215
460.738922,2.316072,0.03493
462.329987,2.312616,0.032757
463.920959,2.30918,0.030692
465.511963,2.305766,0.028733
467.102875,2.302379,0.026876
468.693848,2.29902,0.025118
470.28476,2.295695,0.023455
471.875671,2.292404,0.021885
473.466614,2.28915,0.020404
475.057465,2.285937,0.019008
476.648346,2.282766,0.017693
478.239166,2.279638,0.016457
479.829987,2.276556,0.015296
481.420746,2.273519,0.014207
483.011566,2.27053,0.013185
484.602295,2.26759,0.012229
486.193054,2.264698,0.011334
487.783752,2.261856,0.010497
489.374451,2.259064,0.009715
490.965149,2.256322,0.008986
492.555756,2.25363,0.008307
494.146393,2.250988,0.007673
495.737,2.248395,0.007084
497.327576,2.245853,0.006536
498.918152,2.243359,0.006027
500.508698,2.240915,0.005554
502.099213,2.238518,0.005116
503.689697,2.236169,0.004709
505.280182,2.233866,0.004333
506.870605,2.23161,0.003984
508.461029,2.229399,0.003662
510.051422,2.227232,0.003364
511.641785,2.225109,0.003089
513.232117,2.223029,0.002835
514.822449,2.22099,0.0026
516.41272,2.218993,0.002384
518.003052,2.217035,0.002185
519.593262,2.215117,0.002002
521.183472,2.213236,0.001833
522.773682,2.211393,0.001678
524.363831,2.209586,0.001535
525.953979,2.207814,0.001404
527.544067,2.206077,0.001284
529.134155,2.204374,0.001173
530.724182,2.202703,0.001072
532.314209,2.201064,0.000979
533.904175,2.199456,0.000894
535.494141,2.197878,0.000815
537.084106,2.196329,0.000744
538.67395,2.194809,0.000679
540.263855,2.193317,0.000619
541.853699,2.191851,0.000564
543.443481,2.190412,0.000514
545.033325,2.188999,0.000468
546.623047,2.18761,0.000426
548.212769,2.186245,0.000388
549.802429,2.184904,0.000354
551.39209,2.183586,0.000322
552.981689,2.18229,0.000293
554.571289,2.181016,0.000266
556.160828,2.179763,0.000242
557.750366,2.17853,0.00022
559.339844,2.177317,0.0002
560.929321,2.176124,0.000182
562.518677,2.17495,0.000165
564.108093,2.173794,0.00015
565.697449,2.172656,0.000137
567.286743,2.171535,0.000124
568.876099,2.170432,0.000113
570.465271,2.169346,0.000102
572.054565,2.168275,0.000093
573.643677,2.167221,0.000084
575.232788,2.166182,0.000076
