wavelength,n,k
241.143356,2.25775,0.651394
242.734009,2.260688,0.644296
244.324661,2.263545,0.63726
245.915359,2.266321,0.630286
247.506058,2.269019,0.623373
249.096802,2.271641,0.61652
250.687546,2.274189,0.609727
252.27832,2.276665,0.602992
253.86911,2.27907,0.596315
255.45993,2.281406,0.589696
257.050751,2.283676,0.583133
258.641602,2.285881,0.576626
260.232483,2.288021,0.570174
261.823364,2.2901,0.563776
263.414276,2.292118,0.557431
265.005188,2.294077,0.55114
266.59613,2.295979,0.544901
268.187103,2.297825,0.538713
269.778076,2.299617,0.532577
271.36908,2.301355,0.52649
272.960083,2.303041,0.520453
274.551117,2.304677,0.514465
276.142151,2.306264,0.508525
277.733215,2.307803,0.502633
279.32431,2.309296,0.496787
280.915405,2.310744,0.490988
282.5065,2.312149,0.485235
284.097626,2.31351,0.479526
285.688782,2.314831,0.473862
287.279907,2.316112,0.468241
288.871063,2.317354,0.462664
290.46225,2.31856,0.457128
292.053436,2.319729,0.451634
293.644653,2.320864,0.44618
295.23587,2.321967,0.440766
296.827087,2.323037,0.435391
298.418335,2.324077,0.430054
300.009583,2.325088,0.424754
301.600861,2.326072,0.41949
303.192139,2.327029,0.41426
304.783417,2.327962,0.409063
306.374725,2.328871,0.403898
307.966034,2.329758,0.398764
309.557373,2.330624,0.393658
311.148682,2.33147,0.388579
312.740051,2.332298,0.383525
314.33136,2.333108,0.378494
315.92276,2.333902,0.373483
317.514099,2.334679,0.368492
319.105499,2.335441,0.363516
320.696869,2.336188,0.358554
322.288269,2.33692,0.353603
323.879669,2.337636,0.34866
325.471069,2.338338,0.343722
327.0625,2.339024,0.338787
328.6539,2.339693,0.333852
330.245331,2.340345,0.328914
331.836792,2.340977,0.32397
333.428223,2.341589,0.319017
335.019684,2.342178,0.314054
336.611145,2.342742,0.309077
338.202576,2.343278,0.304084
339.794037,2.343784,0.299074
341.385529,2.344256,0.294043
342.97699,2.344691,0.288992
344.568481,2.345086,0.283918
346.159973,2.345436,0.278821
347.751434,2.345738,0.2737
349.342957,2.345989,0.268554
350.934418,2.346183,0.263385
352.52594,2.346317,0.258192
354.117401,2.346386,0.252976
355.708923,2.346387,0.247739
357.300415,2.346315,0.242483
358.891907,2.346167,0.23721
360.483429,2.345939,0.231921
362.074921,2.345626,0.226621
363.666443,2.345227,0.221312
365.257965,2.344737,0.215998
366.849457,2.344154,0.210682
368.440979,2.343475,0.205369
370.032471,2.342698,0.200063
371.623962,2.341822,0.194768
373.215485,2.340844,0.18949
374.806976,2.339764,0.184233
376.398499,2.33858,0.179002
377.98999,2.337293,0.173801
379.581482,2.335903,0.168637
381.173004,2.334409,0.163514
382.764465,2.332814,0.158437
384.355988,2.331116,0.153411
385.947449,2.32932,0.14844
387.538971,2.327425,0.14353
389.130432,2.325435,0.138686
390.721924,2.323352,0.13391
392.313416,2.321179,0.129209
393.904846,2.318918,0.124584
395.496338,2.316574,0.120042
397.087799,2.314149,0.115583
398.67926,2.311647,0.111213
400.270691,2.309072,0.106934
401.862122,2.306429,0.102748
403.453583,2.303721,0.098658
405.045013,2.300952,0.094666
406.636414,2.298128,0.090774
408.227844,2.295252,0.086983
409.819275,2.292328,0.083294
411.410706,2.289362,0.079709
413.002045,2.286357,0.076228
414.593445,2.283319,0.072851
416.184814,2.280251,0.069579
417.776215,2.277157,0.066412
419.367584,2.274042,0.063348
420.958923,2.27091,0.060388
422.550232,2.267765,0.057531
424.141602,2.264611,0.054775
425.73291,2.261451,0.05212
427.324219,2.258289,0.049564
428.915527,2.255129,0.047106
430.506836,2.251974,0.044744
432.098083,2.248827,0.042476
433.689362,2.245691,0.0403
435.280609,2.242569,0.038215
436.871887,2.239463,0.036218
438.463135,2.236377,0.034307
440.054352,2.233311,0.032479
441.645569,2.23027,0.030733
443.236725,2.227254,0.029067
444.827942,2.224266,0.027476
446.419098,2.221307,0.02596
448.010254,2.218379,0.024516
449.601379,2.215483,0.023142
451.192535,2.21262,0.021834
452.7836,2.209792,0.020591
454.374695,2.207,0.01941
455.965759,2.204244,0.018288
457.556824,2.201526,0.017225
459.147888,2.198845,0.016216
460.738922,2.196203,0.01526
462.329987,2.193599,0.014355
463.920959,2.191035,0.013498
465.511963,2.18851,0.012688
467.102875,2.186025,0.011921
468.693848,2.18358,0.011197
470.28476,2.181174,0.010513
471.875671,2.178807,0.009868
473.466614,2.17648,0.009259
475.057465,2.174192,0.008685
476.648346,2.171943,0.008144
478.239166,2.169733,0.007634
479.829987,2.167561,0.007154
481.420746,2.165427,0.006702
483.011566,2.163331,0.006276
484.602295,2.161271,0.005877
486.193054,2.159248,0.005501
487.783752,2.157261,0.005148
489.374451,2.155309,0.004816
490.965149,2.153392,0.004504
492.555756,2.15151,0.004212
494.146393,2.149661,0.003938
495.737,2.147846,0.00368
497.327576,2.146063,0.003439
498.918152,2.144312,0.003213
500.508698,2.142592,0.003001
502.099213,2.140903,0.002803
503.689697,2.139244,0.002617
505.280182,2.137615,0.002443
506.870605,2.136014,0.00228
508.461029,2.134442,0.002128
510.051422,2.132897,0.001986
511.641785,2.131379,0.001852
513.232117,2.129888,0.001728
514.822449,2.128422,0.001611
516.41272,2.126982,0.001503
518.003052,2.125567,0.001401
519.593262,2.124175,0.001306
521.183472,2.122808,0.001217
522.773682,2.121463,0.001135
524.363831,2.120141,0.001057
525.953979,2.11884,0.000985
527.544067,2.117561,0.000918
529.134155,2.116303,0.000855
530.724182,2.115066,0.000797
532.314209,2.113849,0.000742
533.904175,2.112651,0.000691
535.494141,2.111472,0.000644
537.084106,2.110312,0.000599
538.67395,2.10917,0.000558
540.263855,2.108046,0.00052
541.853699,2.106939,0.000484
543.443481,2.10585,0.000451
545.033325,2.104776,0.000419
546.623047,2.103719,0.00039
548.212769,2.102678,0.000363
549.802429,2.101653,0.000338
551.39209,2.100642,0.000315
552.981689,2.099646,0.000293
554.571289,2.098665,0.000273
556.160828,2.097697,0.000254
557.750366,2.096744,0.000236
559.339844,2.095804,0.00022
560.929321,2.094877,0.000205
562.518677,2.093964,0.00019
564.108093,2.093062,0.000177
565.697449,2.092174,0.000165
567.286743,2.091297,0.000154
568.876099,2.090432,0.000143
570.465271,2.089579,0.000133
572.054565,2.088737,0.000124
573.643677,2.087906,0.000115
575.232788,2.087086,0.000107
576.821899,2.086277,0.0001
578.411011,2.085478,0.000093
580.000061,2.08469,0.000086
581.588989,2.083911,0.00008
583.177979,2.083142,0.000075
584.766907,2.082383,0.00007
586.355774,2.081634,0.000065
587.94458,2.080893,0.00006
589.533386,2.080162,0.000056
591.122192,2.07944,0.000052
592.710876,2.078726,0.000049
594.299561,2.078021,0.000045
595.888245,2.077324,0.000042
597.476807,2.076636,0.000039
599.065369,2.075956,0.000037
600.653931,2.075284,0.000034
602.242371,2.074619,0.000032
603.830811,2.073962,0.00003
605.419189,2.073313,0.000028
607.007568,2.072671,0.000026
608.595886,2.072037,0.000024
610.184143,2.071409,0.000022
611.772339,2.070789,0.000021
613.360535,2.070175,0.000019
614.94873,2.069568,0.000018
616.536804,2.068968,0.000017
618.124878,2.068375,0.000016
619.712891,2.067788,0.000015
621.300842,2.067207,0.000014
622.888794,2.066633,0.000013
624.476685,2.066064,0.000012
626.064453,2.065502,0.000011
627.652222,2.064945,0.00001
629.23999,2.064395,0.00001
630.827698,2.06385,0.000009
632.415344,2.063311,0.000008
634.00293,2.062778,0.000008
635.590515,2.062249,0.000007
637.17804,2.061727,0.000007
638.765503,2.061209,0.000006
640.352905,2.060697,0.000006
641.940247,2.06019,0.000005
643.527588,2.059688,0.000005
645.114868,2.059191,0.000005
646.702026,2.058699,0.000004
648.289246,2.058212,0.000004
649.876343,2.05773,0.000004
651.46344,2.057252,0.000004
653.050415,2.056779,0.000003
654.63739,2.056311,0.000003
656.224365,2.055847,0.000003
657.811218,2.055387,0.000003
659.398071,2.054933,0.000003
660.984802,2.054482,0.000002
662.571533,2.054035,0.000002
664.158203,2.053593,0.000002
665.744812,2.053155,0.000002
667.33136,2.052721,0.000002
668.917847,2.052291,0.000002
670.504333,2.051865,0.000002
672.090698,2.051443,0.000002
673.677124,2.051024,0.000001
675.263367,2.05061,0.000001
676.849609,2.050199,0.000001
678.435791,2.049792,0.000001
680.021912,2.049389,0.000001
681.608032,2.04899,0.000001
683.194031,2.048593,0.000001
684.779968,2.048201,0.000001
686.365906,2.047812,0.000001
687.951782,2.047426,0.000001
689.537537,2.047044,0.000001
691.123291,2.046665,0.000001
692.708984,2.046289,0.000001
694.294617,2.045917,0.000001
695.880188,2.045548,0.000001
697.465698,2.045182,0.000001
699.051147,2.044819,0
700.636597,2.044459,0
702.221863,2.044103,0
703.80719,2.043749,0
705.392395,2.043399,0
706.977539,2.043051,0
708.562622,2.042706,0
710.147705,2.042364,0
711.732666,2.042025,0
713.317627,2.041689,0
714.902466,2.041356,0
716.487244,2.041025,0
718.072021,2.040697,0
719.656677,2.040372,0
721.241333,2.040049,0
722.825806,2.039729,0
724.410339,2.039412,0
725.994751,2.039097,0
727.579163,2.038785,0
729.163452,2.038475,0
730.747681,2.038168,0
732.331848,2.037863,0
733.915955,2.03756,0
735.5,2.037261,0
737.083984,2.036963,0
738.667847,2.036668,0
740.25177,2.036375,0
741.835571,2.036084,0
743.41925,2.035795,0
745.002869,2.035509,0
746.586487,2.035225,0
748.170044,2.034943,0
749.753479,2.034663,0
751.336853,2.034386,0
752.920166,2.034111,0
754.503418,2.033837,0
756.086609,2.033566,0
757.669739,2.033297,0
759.252808,2.03303,0
760.835754,2.032764,0
762.41864,2.032501,0
764.001465,2.03224,0
765.58429,2.031981,0
767.166931,2.031723,0
768.749573,2.031468,0
770.332153,2.031214,0
771.914673,2.030962,0
773.497009,2.030713,0
775.079407,2.030465,0
776.661682,2.030218,0
778.243835,2.029974,0
779.825989,2.029731,0
781.408081,2.02949,0
782.990051,2.029251,0
784.57196,2.029014,0
786.153809,2.028778,0
787.735535,2.028544,0
789.317261,2.028311,0
790.898865,2.028081,0
792.480408,2.027852,0
794.06189,2.027624,0
795.64325,2.027398,0
797.224548,2.027174,0
798.805786,2.026951,0
800.387024,2.02673,0
801.968079,2.02651,0
803.549072,2.026292,0
805.130005,2.026076,0
806.710876,2.025861,0
808.291626,2.025647,0
809.872375,2.025434,0
811.453003,2.025224,0
813.033569,2.025015,0
814.614014,2.024807,0
816.194458,2.0246,0
817.77478,2.024395,0
819.35498,2.024192,0
820.935181,2.023989,0
822.515259,2.023788,0
824.095215,2.023589,0
825.67511,2.023391,0
827.255005,2.023193,0
828.834656,2.022998,0
830.414368,2.022804,0
831.993958,2.02261,0
833.573425,2.022419,0
835.152954,2.022228,0
836.732239,2.022039,0
838.311523,2.021851,0
839.890747,2.021664,0
841.469849,2.021478,0
843.048828,2.021294,0
844.627747,2.021111,0
846.206543,2.020929,0
847.785339,2.020748,0
849.364075,2.020569,0
850.942566,2.02039,0
852.521118,2.020213,0
854.099487,2.020036,0
855.677856,2.019861,0
857.256165,2.019687,0
858.83429,2.019514,0
860.412415,2.019343,0
861.990356,2.019172,0
863.568237,2.019002,0
865.146118,2.018834,0
866.723816,2.018666,0
868.301453,2.0185,0
869.879028,2.018334,0
871.456421,2.01817,0
873.033875,2.018006,0
874.611145,2.017844,0
876.188354,2.017683,0
877.765442,2.017522,0
879.342468,2.017363,0
880.919434,2.017205,0
882.496277,2.017047,0
884.073059,2.016891,0
885.649719,2.016735,0
887.226257,2.01658,0
888.802734,2.016427,0
890.379089,2.016274,0
891.955383,2.016122,0
893.531555,2.015971,0
895.107727,2.015821,0
896.683716,2.015672,0
898.259644,2.015524,0
899.835449,2.015377,0
901.411255,2.01523,0
902.986816,2.015085,0
904.562378,2.01494,0
906.137817,2.014796,0
907.713196,2.014653,0
909.288452,2.014511,0
910.863647,2.01437,0
912.43866,2.014229,0
914.013672,2.014089,0
915.588562,2.013951,0
917.163391,2.013813,0
918.737976,2.013675,0
920.312622,2.013539,0
921.887085,2.013403,0
923.461548,2.013268,0
925.035828,2.013134,0
926.609985,2.013001,0
928.184082,2.012868,0
929.758118,2.012736,0
931.332031,2.012605,0
932.905762,2.012475,0
934.479492,2.012345,0
936.053101,2.012217,0
937.626648,2.012089,0
939.200012,2.011961,0
940.773315,2.011834,0
942.346497,2.011708,0
943.919617,2.011583,0
945.492554,2.011459,0
947.065552,2.011335,0
948.638306,2.011212,0
